c,sigma,sigma_prime,kappa,phat_one,m,identity_relerr,residual
0.238,0.03477707751424979,0.16265395190140586,1.0219849207132952,-6.283185307179585,10.356603247052043,2.7704058097109797e-11,9.880984919163893e-15
0.239,0.03493987584573484,0.16294305451395097,1.0238014060045517,-6.2831853071795845,10.370185296245305,2.3898282296357484e-11,7.896461262646426e-15
0.24,0.035102964319373445,0.16323424573126544,1.0256310143863838,-6.283185307179585,10.383886511864263,2.032417421893162e-11,1.4377388168895777e-14
0.241,0.035266345053589165,0.16352758592520855,1.0274741251861754,-6.283185307179587,10.397701313922198,1.7170585231247325e-11,1.0436096431476471e-14
0.242,0.03543002022633313,0.1638231310162331,1.029331089762306,-6.283185307179588,10.411625096848235,1.4617656760750792e-11,1.0769163338864018e-14
0.243,0.03559399206501558,0.16412092347935492,1.031202174993033,-6.283185307179585,10.425653563434352,1.2795745555511745e-11,1.2101430968414206e-14
0.244,0.03575826282830622,0.16442097946412854,1.0330874823489524,-6.283185307179585,10.439785165898643,1.1747593672948515e-11,1.8596235662471372e-14
0.245,0.03592283477148643,0.164723277790002,1.0349868787487875,-6.283185307179585,10.45403337147991,1.1415168231890052e-11,1.4876988529977098e-14
0.246,0.03608771011996327,0.16502778450300867,1.0369001508536135,-6.283185307179587,10.468410285921124,1.1659427953848378e-11,1.3433698597964394e-14
0.247,0.03625289106760052,0.16533447380661948,1.0388271365792392,-6.283185307179587,10.482930055957254,1.2302976082053628e-11,9.936496070395151e-15
0.248,0.03641837979704042,0.16564335255919105,1.0407678790181543,-6.283185307179587,10.497594916555869,1.318569206377891e-11,1.0436096431476471e-14
0.249,0.036584178514368924,0.16595445642539197,1.0427226022582163,-6.283185307179587,10.51239948402428,1.4175878913181313e-11,8.992806499463768e-15
0.25,0.03675028946693233,0.16626783197790654,1.0446915989243117,-6.283185307179587,10.52734295093614,1.519573527787036e-11,1.4099832412739488e-14
0.251,0.03691671495452964,0.1665835355991287,1.0466752232775294,-6.283185307179587,10.54241650872951,1.6188192225748618e-11,1.509903313490213e-14
0.252,0.03708345733010766,0.16690161525016772,1.04867377666643,-6.283185307179587,10.557621898008524,1.7130491022339365e-11,1.0158540675320182e-14
0.253,0.03725051899278131,0.16722211807996967,1.050687555336598,-6.283185307179587,10.572956993759966,1.8004909365655205e-11,1.787459069646502e-14
0.254,0.037417902388644744,0.16754508751228842,1.052716832127527,-6.283185307179587,10.588419399017788,1.880989566549764e-11,1.0769163338864018e-14
0.255,0.03758561000131164,0.16787055796064196,1.054761823268536,-6.283185307179587,10.604015014140106,1.6884253013556873e-11,9.173217740965356e-15
0.256,0.03775364435165249,0.1681985690418131,1.0568227776575834,-6.283185307179587,10.619738139561417,3.2709482487520124e-11,1.1907141939104804e-14
