xi,phi_prime,phat
-192.28515625,1.2257199704780893e-10,2.493560246630317e-10
-192.1875,9.193094354947273e-10,4.0099466101894683e-10
-192.08984375,1.6864170141168357e-09,5.304163653300498e-10
-191.9921875,2.385646731050237e-09,6.318103774889991e-10
-191.89453125,2.981306388196844e-09,7.008273396457879e-10
-191.796875,3.442144586318992e-09,7.347608329070846e-10
-191.69921875,3.7429013904829115e-09,7.326464524983376e-10
-191.6015625,3.865690169437456e-09,6.95274900790687e-10
-191.50390625,3.800989244267524e-09,6.251204348522883e-10
-191.40625,3.548337635265309e-09,5.261894076969164e-10
-191.30859375,3.1164833157233276e-09,4.0379805408669454e-10
-191.2109375,2.52314251167014e-09,2.6429125075457753e-10
-191.11328125,1.7943072553227663e-09,1.1471725798590837e-10
-191.015625,9.631541652289615e-10,-3.752537652047393e-11
-190.91796875,6.848373602881594e-11,-1.850508761637795e-10
-190.8203125,-8.469819966003936e-10,-3.2084190760949676e-10
-190.72265625,-1.738679479574179e-09,-4.3858053777917564e-10
-190.625,-2.562355714199206e-09,-5.329393387251058e-10
-190.52734375,-3.276227114573169e-09,-5.998190402192306e-10
-190.4296875,-3.8430844617877875e-09,-6.365226399851579e-10
-190.33203125,-4.232207886315522e-09,-6.418584581968129e-10
-190.234375,-4.421048646410248e-09,-6.161688697442491e-10
-190.13671875,-4.396425592406409e-09,-5.612844084003567e-10
-190.0390625,-4.1553677236959845e-09,-4.804072232858345e-10
-189.94140625,-3.705524916859098e-09,-3.7793050813899676e-10
-189.84375,-3.064906199138305e-09,-2.592041720927138e-10
-189.74609375,-2.2612867418014795e-09,-1.3025872190036754e-10
-189.6484375,-1.3309427999936936e-09,2.498194867792166e-12
-189.55078125,-3.171092461664708e-10,1.3259779265645333e-10
-189.453125,7.320692671824385e-10,2.5382288198712804e-10
-189.35546875,1.7657237796942344e-09,3.6050268218748036e-10
-189.2578125,2.7327911585177666e-09,4.4777549860818326e-10
-189.16015625,3.5844757947281103e-09,5.118075775408985e-10
-189.0625,4.2766961312222465e-09,5.49958076592302e-10
-188.96484375,4.7723387049665985e-09,5.608835891909516e-10
-188.8671875,5.043240250855704e-09,5.445779843637977e-10
-188.76953125,5.0717270863283586e-09,5.023472378962e-10
-188.671875,4.8516489375726825e-09,4.3672134906243165e-10
-188.57421875,4.388989746736919e-09,3.513091507949546e-10
-188.4765625,3.701738413157042e-09,2.5060373630711994e-10
-188.37890625,2.8192857688009104e-09,1.3974918446474647e-10
-188.28125,1.7811683462226252e-09,2.428019644606016e-11
-188.18359375,6.353307331858232e-10,-9.015192788619018e-11
-188.0859375,-5.640314442631018e-10,-1.980538791516343e-10
-187.98828125,-1.7590531708323146e-09,-2.943518836848103e-10
-187.890625,-2.8909656614572413e-09,-3.746282241282011e-10
-187.79296875,-3.902932157232848e-09,-4.3532144648279965e-10
-187.6953125,-4.74290636916784e-09,-4.738816753149009e-10
-187.59765625,-5.366291058322179e-09,-4.888740376528069e-10
-187.5,-5.738250812702116e-09,-4.800265802643967e-10
-187.40234375,-5.835614666508076e-09,-4.4822105537676637e-10
-187.3046875,-5.648250849555947e-09,-3.954284888139988e-10
-187.20703125,-5.179802606095653e-09,-3.245933102986006e-10
-187.109375,-4.447812801823289e-09,-2.3947299206997273e-10
-187.01171875,-3.4830952325625325e-09,-1.444413897379898e-10
-186.9140625,-2.3284985861810817e-09,-4.42663370094426e-11
-186.81640625,-1.0370443502331894e-09,5.612768338687555e-11
